Client_ID,Age,Profession,Revenu_Annuel,Montant_Credit,Duree_Credit,Historique_Credit,Risk_Score
1,32,Ingénieur,65000,25000,48,Bon,2
2,45,Chef de projet,82000,40000,60,Très bon,1
3,28,Designer,35000,15000,36,Moyen,3
4,50,Directeur,120000,80000,72,Très bon,1
5,38,Enseignant,42000,12000,24,Mauvais,4
6,29,Consultant,48000,18000,36,Bon,2
7,41,Médecin,95000,50000,60,Très bon,1
8,34,Comptable,52000,22000,48,Moyen,3
9,27,Technicien,32000,10000,12,Mauvais,5
10,44,Avocat,88000,45000,60,Bon,2
11,31,Infirmier,38000,15000,24,Moyen,3
12,36,Architecte,75000,30000,48,Bon,2
13,42,Commercial,68000,35000,36,Moyen,3
14,25,Etudiant,18000,5000,12,Mauvais,5
15,48,Cadre supérieur,110000,60000,72,Très bon,1
16,33,Journaliste,45000,20000,36,Moyen,3
17,39,Ingénieur,78000,40000,48,Bon,2
18,30,Artiste,28000,8000,24,Mauvais,4
19,47,Pharmacien,90000,55000,60,Très bon,1
20,35,Analyste,60000,25000,36,Bon,2
